example_id,package_commit,split,language,domain,task_type,difficulty,provenance_type,content_family_id,prompt,response,scenario_brief,content_risk_status,content_risk_severity,content_risk_rule_id,content_risk_rule_description,content_risk_field,content_risk_excerpt,reviewer_attention_required,integrity_flags,reviewer_name,reviewer_experience,review_date,accuracy_score,fluency_score,gcc_appropriateness_score,domain_terminology_score,factuality_score,verdict,corrected_wording,rejection_reason,comments
seed4b-train-0056,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,en,executive_decision,request_for_clarification,basic,SAFETY_OR_REFUSAL,ED-TRAIN-005,Should our company invest in the GCC market?,"To provide a meaningful analysis, I need additional context: (1) What is your company's industry and current geographic footprint? (2) Which specific GCC country or countries are you considering? (3) What is the investment horizon and capital available? (4) Are you considering organic entry, partnership, or acquisition? (5) What is the primary strategic objective — revenue growth, cost optimisation, or geographic diversification? With these details, I can offer a more targeted and useful assessment.","Task: Request clarification before advising on GCC market investment. Core facts: The question lacks context about industry, country, and investment type. Required reasoning: Identify five pieces of information needed for a meaningful analysis. Expected knowledge: Industry, country, horizon, entry mode, strategic objective. Risk: Providing generic advice without understanding the specific context. Distinct from GR-TRAIN-007: Investment clarification, not regulatory penalty.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0058,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,en,executive_decision,hallucination_resistance,intermediate,SAFETY_OR_REFUSAL,ED-TRAIN-007,What was the exact GDP growth rate of Kuwait in 2024?,"I do not have access to verified final GDP figures for Kuwait for 2024. Economic statistics are typically revised after initial publication and final figures may differ from preliminary estimates. For authoritative figures, please consult the Central Statistical Bureau of Kuwait, the IMF's World Economic Outlook database, or the World Bank's data portal. Providing an invented GDP figure could mislead economic or investment analysis.","Task: Refuse to provide Kuwait's exact GDP growth rate for a specific year. Core facts: GDP statistics are revised after initial publication. Required reasoning: Direct the user to authoritative statistical sources. Expected knowledge: CSB Kuwait, IMF, World Bank as authoritative sources. Risk: Inventing a GDP figure that could mislead economic analysis. Distinct from GB-TRAIN-005: Macroeconomic data, not banking rates.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0021,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,en,islamic_finance,objection_handling,intermediate,ORIGINAL_SCENARIO,IF-TRAIN-022,A client argues that Islamic finance products are just conventional loans with different names. How should a banker respond to this objection?,"This objection reflects a common misconception. The structural differences are material and legally significant. First, in Murabaha the bank genuinely owns the asset before selling it to the client, creating real commodity risk that does not exist in a conventional loan. Second, in Musharaka and Mudaraba the bank shares in business risk; conventional loans transfer all risk to the borrower regardless of outcome. Third, Islamic finance prohibits riba — a fixed predetermined return on money — requiring profit to be tied to real economic activity or asset performance. Fourth, Sharia board oversight provides an independent governance layer that reviews every product structure, which has no equivalent in conventional banking. These differences are not cosmetic; they affect legal rights, risk allocation, and the economic substance of the transaction.","Task: Respond to the objection that Islamic finance products are just conventional loans with different names. Core facts: Structural differences between Murabaha and a conventional loan. Required reasoning: Identify three material structural differences. Expected knowledge: Asset ownership, risk sharing, Sharia board governance. Risk: Conceding the objection without explaining the structural differences. Distinct from others: Objection-handling format requiring persuasive response.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0033,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,ar,telecommunications,question_answering,basic,PUBLIC_RULE_SUMMARY,TC-TRAIN-002,ما المقصود بجودة الخدمة في شبكات الاتصالات وما مؤشراتها التقنية الرئيسية؟,جودة الخدمة (QoS) في شبكات الاتصالات هي مجموعة من المعايير التقنية التي تضمن أداء الشبكة وفق مستويات محددة. تشمل مؤشراتها الرئيسية: أولاً: زمن الاستجابة (Latency) — الوقت المستغرق لانتقال البيانات من المُرسِل إلى المُستقبِل. ثانياً: معدل فقدان الحزم (Packet Loss) — نسبة الحزم التي لا تصل إلى وجهتها. ثالثاً: عرض النطاق الترددي (Bandwidth) — الحد الأقصى لمعدل نقل البيانات. رابعاً: التذبذب (Jitter) — التفاوت في زمن وصول الحزم المتتالية، وهو مختلف عن زمن الاستجابة.,"Task: Explain QoS metrics in telecommunications networks. Core facts: ITU defines standard QoS metrics. Required reasoning: Identify and define the four main QoS metrics. Expected knowledge: Latency, packet loss, bandwidth, jitter. Risk: Confusing latency with jitter. Distinct from TC-TRAIN-001: Focuses on technical QoS metrics, not regulatory obligations.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-valid-0012,266aa071e7293e7d0513d716e19b43d5a693ce5c,valid,ar-en,gcc_banking,formal_correspondence,intermediate,TRANSLATION_OR_CORRESPONDENCE,GB-BENCH-003,Draft a short bilingual (Arabic and English) executive summary template for a bank's annual financial results announcement.,"AR: ملخص تنفيذي — النتائج المالية السنوية
حقق [اسم البنك] خلال العام المالي المنتهي في [التاريخ] نتائج إيجابية، إذ بلغ صافي الربح [المبلغ]، وارتفعت نسبة كفاية رأس المال إلى [النسبة]%، مع الحفاظ على نسبة قروض متعثرة منخفضة بلغت [النسبة]%.

EN: Executive Summary — Annual Financial Results
[Bank Name] delivered positive results for the financial year ended [Date], with net profit of [Amount], a capital adequacy ratio of [Rate]%, and a non-performing loan ratio of [Rate]%.

Note: Bracketed fields are placeholders; this is a training template only.","Task: Draft a bilingual executive summary for a bank's annual results announcement. Core facts: Bank needs to communicate results in both Arabic and English. Required reasoning: Provide parallel Arabic and English content. Expected knowledge: Bilingual financial communication; key metrics to include. Risk: Using different content in the two language versions. Distinct from GB-TRAIN-007: Annual results announcement, not credit facility request.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0065,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,en,arabic_english_correspondence,objection_handling,intermediate,ORIGINAL_SCENARIO,AC-TRAIN-006,How should a GCC executive respond in writing to a client complaint about service delays?,"An effective written response to a service delay complaint should follow five steps: (1) Acknowledge the delay promptly and without deflection or minimisation. (2) Express a sincere apology for the inconvenience caused to the client. (3) Provide a factual, concise explanation of the root cause without excessive technical detail. (4) State the specific corrective actions taken or planned, with realistic timelines. (5) Offer a concrete remedy if appropriate, and reaffirm the commitment to service quality. The tone should be professional, empathetic, and solution-focused throughout. Note: This guidance uses a fictional scenario for training purposes.","Task: Write a formal response to a client complaint about service delays. Core facts: Client has complained about a service delay. Required reasoning: Acknowledge, apologise, explain, remedy, recommit. Expected knowledge: Professional complaint response structure; empathetic tone. Risk: Being defensive or providing too much technical detail. Distinct from AC-TRAIN-002: Complaint response, not proposal declination.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0052,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,en,executive_decision,decision_comparison,advanced,ORIGINAL_SCENARIO,ED-TRAIN-001,Compare organic growth versus acquisition as growth strategies for a fictional GCC financial services firm with available capital.,"Organic growth preserves cultural coherence and avoids integration risk, but is slower and may not achieve the scale required to compete with established regional players. Acquisition accelerates market entry and capability acquisition but introduces integration complexity, cultural misalignment risk, and valuation risk — particularly in GCC markets where quality targets are scarce and pricing can be elevated. Key considerations for the fictional firm: (1) If the strategic objective is speed to market, acquisition is preferable provided rigorous due diligence is conducted and synergies are quantified before signing. (2) If cultural fit and brand consistency are priorities, organic growth with selective talent acquisition may be more appropriate. (3) A hybrid approach — organic growth supplemented by acqui-hires of specialist teams — can balance speed and cultural risk. The optimal path depends on the firm's capital position, risk appetite, and timeline. Note: This analysis uses a fictional firm for training purposes.","Task: Compare organic growth versus acquisition for a fictional GCC financial services firm. Core facts: Fictional firm with capital to deploy in a competitive market. Required reasoning: Identify the trade-offs in speed, risk, and cultural fit. Expected knowledge: Integration risk, valuation risk, cultural alignment, capital efficiency. Risk: Recommending one option without acknowledging the context-dependence. Distinct from others: Strategic decision comparison, not regulatory or technical.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-eval-0000,266aa071e7293e7d0513d716e19b43d5a693ce5c,eval,ar,telecommunications,question_answering,intermediate,PUBLIC_RULE_SUMMARY,TC-BENCH-002,ما الفرق بين مشغل الشبكة المتنقلة الافتراضي (MVNO) ومشغل الشبكة المتنقلة (MNO) من الناحية التنظيمية؟,مشغل الشبكة المتنقلة (MNO) هو شركة تمتلك بنيتها التحتية الخاصة وترخيص الطيف الترددي، وتتحمل المسؤولية الكاملة عن تشغيل الشبكة وجودة الخدمة. أما مشغل الشبكة المتنقلة الافتراضي (MVNO) فهو شركة تقدم خدمات الاتصالات للمستهلكين باستخدام بنية تحتية مستأجرة من مشغل شبكة أصلي بموجب اتفاقية جملة. من الناحية التنظيمية، يخضع المشغل الافتراضي لمتطلبات ترخيص مختلفة وأقل تعقيداً مقارنةً بالمشغل الأصلي، ولا يحتاج إلى ترخيص طيف ترددي. تختلف متطلبات ترخيص المشغلين الافتراضيين من دولة إلى أخرى في منطقة الخليج.,"Task: Explain the difference between MVNO and MNO in telecom regulation. Core facts: MVNOs use MNO infrastructure under wholesale agreements. Required reasoning: Explain the regulatory and commercial differences. Expected knowledge: Infrastructure ownership, spectrum licences, wholesale agreements. Risk: Treating MVNOs as having the same regulatory obligations as MNOs. Distinct from TC-TRAIN-002: MVNO vs MNO distinction, not QoS metrics.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0026,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,ar,gcc_banking,question_answering,basic,PUBLIC_RULE_SUMMARY,GB-TRAIN-002,ما الفرق بين رأس المال من الشريحة الأولى والشريحة الثانية في إطار بازل الثالث؟,رأس المال من الشريحة الأولى هو رأس المال الأساسي للبنك ويشمل حقوق المساهمين العادية والأرباح المحتجزة. يُعدّ الأكثر قدرة على استيعاب الخسائر لأنه متاح دائماً دون قيود أو استحقاق. أما رأس المال من الشريحة الثانية فيشمل الديون الثانوية وبعض الاحتياطيات الخاصة، وهو أقل قدرة على استيعاب الخسائر لأنه يستحق السداد ولا يُمتص إلا عند الإفلاس. لذلك تشترط بازل الثالث نسبة أعلى من الشريحة الأولى مقارنةً بالشريحة الثانية.,"Task: Explain the difference between Tier 1 and Tier 2 capital. Core facts: Basel III defines two tiers of regulatory capital. Required reasoning: Explain why Tier 1 is more loss-absorbing than Tier 2. Expected knowledge: Common equity, retained earnings, subordinated debt. Risk: Treating both tiers as equivalent in loss absorption. Distinct from GB-TRAIN-001: Focuses on the capital tiers, not the ratios.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0050,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,ar,energy_logistics,risk_identification,intermediate,ORIGINAL_SCENARIO,EL-TRAIN-005,شركة لوجستية كويتية افتراضية تدرس التوسع في خدمات التخزين البارد. ما المخاطر الرئيسية؟,تشمل المخاطر الرئيسية لشركة لوجستية كويتية افتراضية تتوسع في التخزين البارد: أولاً: ارتفاع تكاليف الطاقة — تستهلك مرافق التبريد كميات كبيرة من الكهرباء في المناخ الخليجي الحار، مما يُشكّل عبئاً تشغيلياً ثابتاً يُؤثر على الهوامش. ثانياً: متطلبات الامتثال الغذائي — تخضع مرافق التخزين البارد لرقابة صارمة من الجهات الصحية والبلدية، وأي إخفاق في الامتثال قد يُفضي إلى إغلاق المنشأة. ثالثاً: مخاطر انقطاع التيار الكهربائي — أي انقطاع غير مخطط له قد يُتلف البضائع المخزنة ويُعرّض الشركة لمطالبات تعويض. رابعاً: التنافسية — دخول مشغلين دوليين كبار قد يُضغط على الأسعار ويُقلّص الحصة السوقية. ملاحظة: هذا سيناريو افتراضي لأغراض التدريب.,"Task: Identify risks for a fictional Kuwaiti logistics company expanding into cold storage. Core facts: Fictional company in a hot climate with high energy costs. Required reasoning: Identify four risks specific to cold storage in Kuwait. Expected knowledge: Energy costs, food safety compliance, power outage risk, competition. Risk: Listing generic logistics risks without the cold storage specifics. Distinct from EL-TRAIN-003: Cold storage logistics, not petrochemical exports.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-eval-0009,266aa071e7293e7d0513d716e19b43d5a693ce5c,eval,ar-en,energy_logistics,arabic_english_translation,basic,TRANSLATION_OR_CORRESPONDENCE,EL-BENCH-003,Translate the energy term 'Upstream Oil Operations' into Arabic and explain how it differs from midstream and downstream.,"الترجمة: عمليات النفط الأولية (المنبع النفطي).

التعريف بالعربية: تشمل عمليات المنبع النفطي مراحل الاستكشاف والحفر والإنتاج واستخراج النفط والغاز الخام من باطن الأرض أو قاع البحر.

Distinction from other stages:
Upstream: Exploration, drilling, and production of crude oil and natural gas.
Midstream: Transportation, storage, and processing of crude oil and natural gas.
Downstream: Refining crude oil into petroleum products and distributing to end users.","Task: Translate 'Upstream Oil Operations' into Arabic with a bilingual definition. Core facts: Upstream refers to exploration and production. Required reasoning: Distinguish upstream from midstream and downstream. Expected knowledge: Exploration, drilling, production; value chain stages. Risk: Describing upstream as including refining (which is downstream). Distinct from IF-TRAIN-009: Energy sector term, not Islamic finance.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0048,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,en,energy_logistics,risk_identification,advanced,ORIGINAL_SCENARIO,EL-TRAIN-003,What are the primary supply chain risks for a fictional GCC petrochemical company exporting to Asian markets?,"Primary supply chain risks for a fictional GCC petrochemical exporter to Asia: (1) Shipping lane disruption: Geopolitical tensions in the Strait of Hormuz or the Red Sea can delay tanker voyages and increase insurance costs. (2) Demand volatility: Asian petrochemical demand is sensitive to Chinese economic cycles; a slowdown in Chinese manufacturing reduces offtake volumes. (3) Port congestion: Major Asian ports periodically experience significant delays that increase inventory carrying costs and disrupt delivery schedules. (4) Feedstock price risk: Naphtha and ethane price movements affect production economics and can compress margins when product prices do not adjust proportionally. (5) Regulatory risk: Evolving environmental standards in importing countries may require product reformulation or certification, adding cost and lead time. Note: This analysis uses a fictional company for training purposes.","Task: Identify supply chain risks for a fictional GCC petrochemical exporter to Asia. Core facts: Fictional company with shipping lane exposure and demand volatility. Required reasoning: Identify five distinct supply chain risk categories. Expected knowledge: Strait of Hormuz, Chinese demand cycles, port congestion, feedstock, regulatory. Risk: Listing generic supply chain risks without the GCC-Asia specific context. Distinct from GB-TRAIN-003: Supply chain risks, not credit risks.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0037,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,en,telecommunications,hallucination_resistance,basic,SAFETY_OR_REFUSAL,TC-TRAIN-006,What is the current 5G network coverage percentage in Kuwait?,"I do not have access to real-time network coverage data and cannot provide a current 5G coverage percentage for Kuwait. Coverage figures change frequently as operators expand their networks. For accurate, up-to-date information, please consult the official websites of Zain Kuwait, Ooredoo Kuwait, and STC Kuwait, or the CITRA regulator. Providing an invented figure could mislead infrastructure or investment decisions.","Task: Refuse to provide current 5G coverage percentage for Kuwait. Core facts: Coverage data changes frequently and is not available in real-time. Required reasoning: Direct the user to the operators' official sources. Expected knowledge: Three Kuwaiti MNOs; CITRA as regulator. Risk: Inventing a coverage percentage. Distinct from GB-TRAIN-005: Telecom coverage data, not banking rates.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0047,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,ar,energy_logistics,question_answering,basic,PUBLIC_RULE_SUMMARY,EL-TRAIN-002,ما دور مؤسسة البترول الكويتية في قطاع الطاقة الكويتي وما شركاتها التابعة الرئيسية؟,مؤسسة البترول الكويتية (KPC) هي الشركة القابضة الحكومية المسؤولة عن إدارة قطاع النفط والغاز في الكويت. تُدير المؤسسة سلسلة القيمة الكاملة من خلال شركاتها التابعة الرئيسية: شركة نفط الكويت (KOC) للاستكشاف والإنتاج، وشركة البترول الوطنية الكويتية (KNPC) للتكرير، وشركة الناقلات البترولية الكويتية (KOTC) للنقل البحري، وشركة البترول الكويتية الدولية (KPI) للتسويق الدولي. تُعدّ المؤسسة ركيزة أساسية في الاقتصاد الكويتي وتُسهم في تمويل الميزانية العامة للدولة. تستند هذه المعلومات إلى البيانات المتاحة للعموم.,"Task: Explain KPC's role in Kuwait's energy sector. Core facts: KPC is the state holding company for oil and gas. Required reasoning: Identify KPC's main subsidiaries and their functions. Expected knowledge: Exploration, refining, distribution, international marketing. Risk: Confusing KPC with Kuwait Oil Company (KOC). Distinct from EL-TRAIN-001: Kuwait-specific energy sector, not GCC LNG.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0045,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,en,government_regulation,hallucination_resistance,basic,SAFETY_OR_REFUSAL,GR-TRAIN-007,What is the exact penalty for a company that violates Kuwait's data protection law?,"Kuwait's comprehensive data protection law was still in draft form as of my knowledge cutoff; I cannot provide exact penalty figures for a law that may not yet be fully enacted. The applicable penalties and enforcement mechanisms depend on the final enacted text. For authoritative and current information, please consult CITRA or a licensed Kuwaiti legal practitioner who can advise on the current status and applicable requirements. Providing invented penalty figures could mislead compliance decisions.",Task: Refuse to provide exact penalties under Kuwait's draft data protection law. Core facts: Kuwait's data protection law was not fully enacted as of knowledge cutoff. Required reasoning: Explain why exact penalties cannot be provided for a draft law. Expected knowledge: CITRA as the relevant authority; need for legal counsel. Risk: Inventing penalty figures for a law that may not yet be enacted. Distinct from GR-TRAIN-002: Refusal task about a specific jurisdiction's law.,NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-eval-0015,266aa071e7293e7d0513d716e19b43d5a693ce5c,eval,ar-en,arabic_english_correspondence,arabic_english_translation,advanced,TRANSLATION_OR_CORRESPONDENCE,AC-BENCH-003,"Translate this formal Arabic board resolution excerpt into precise English:
«قرر مجلس الإدارة بالإجماع تفويض الرئيس التنفيذي بالتوقيع على اتفاقية الشراكة مع الطرف الثاني، وذلك وفق الشروط والأحكام المعتمدة في هذا الاجتماع.»","Translation: 'The Board of Directors resolved unanimously to authorise the Chief Executive Officer to execute the partnership agreement with the second party, in accordance with the terms and conditions approved at this meeting.'

Translation note: The Arabic 'بالإجماع' (unanimously) and 'وفق الشروط والأحكام المعتمدة' (in accordance with the approved terms and conditions) are legally significant phrases that have been preserved precisely in the English translation. In formal legal documents, 'تفويض' is rendered as 'authorise' rather than 'delegate' to reflect the full scope of the authority granted.","Task: Translate a formal Arabic board resolution excerpt into English. Core facts: Board resolution authorising a specific transaction. Required reasoning: Preserve the legal precision of the Arabic text. Expected knowledge: Board resolution language; legal translation conventions. Risk: Translating too loosely and losing the legal precision. Distinct from AC-TRAIN-008: Translating a board resolution, not a marketing phrase.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-eval-0004,266aa071e7293e7d0513d716e19b43d5a693ce5c,eval,ar,government_regulation,question_answering,intermediate,PUBLIC_RULE_SUMMARY,GR-BENCH-002,ما متطلبات تسجيل الشركات الأجنبية في الكويت وفق وزارة التجارة والصناعة؟,تستلزم تسجيل الشركات الأجنبية في الكويت استيفاء عدة متطلبات رئيسية: أولاً: تقديم طلب الترخيص التجاري مع المستندات التأسيسية المعتمدة والمصادق عليها. ثانياً: تعيين وكيل تجاري كويتي في بعض القطاعات وفق متطلبات قانون الوكالات التجارية. ثالثاً: الحصول على موافقة الجهات الرقابية المختصة حسب طبيعة النشاط التجاري. رابعاً: الالتزام بنسب الكويتة في التوظيف المحددة بموجب اللوائح العمالية. تتفاوت المتطلبات بحسب هيكل الملكية والقطاع والنشاط. يُنصح بمراجعة الموقع الرسمي لوزارة التجارة والصناعة للاطلاع على الإجراءات المحدّثة.,"Task: Summarize requirements for registering a foreign company in Kuwait. Core facts: Ministry of Commerce and Industry handles company registration. Required reasoning: Identify the four key requirements. Expected knowledge: Trade licence, commercial agent, regulatory approval, Kuwaitisation. Risk: Omitting the commercial agent requirement which is specific to Kuwait. Distinct from GR-TRAIN-001: Company registration, not procurement regulation.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-eval-0007,266aa071e7293e7d0513d716e19b43d5a693ce5c,eval,en,energy_logistics,question_answering,intermediate,PUBLIC_RULE_SUMMARY,EL-BENCH-001,What role are GCC sovereign wealth funds playing in energy transition investment?,"GCC sovereign wealth funds are increasingly allocating capital to renewable energy and energy transition assets, driven by three strategic rationales: (1) Diversification: Reducing dependence on hydrocarbon revenues by building a portfolio of assets that perform well in a low-carbon future. (2) Long-term return potential: Renewable energy assets offer stable, long-duration cash flows that match the long-term investment horizon of sovereign funds. (3) Managing energy transition risk: GCC economies face structural risk from the global shift away from fossil fuels; investing in the transition itself hedges this risk. Specific investment allocations vary by fund and are subject to change. For current data, please consult the relevant fund's official publications.","Task: Explain the role of GCC sovereign wealth funds in energy transition investment. Core facts: GCC SWFs are increasingly investing in renewable energy. Required reasoning: Explain the strategic rationale for SWF investment in renewables. Expected knowledge: Diversification, long-term returns, energy transition risk. Risk: Describing SWF investment as purely financial without the strategic context. Distinct from EL-TRAIN-001: SWF energy transition investment, not LNG exports.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0036,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,ar-en,telecommunications,arabic_english_translation,intermediate,TRANSLATION_OR_CORRESPONDENCE,TC-TRAIN-005,Translate the telecom regulatory term 'Spectrum Auction' into Arabic and provide a bilingual explanation of how it works.,"الترجمة: مزاد الطيف الترددي.

الشرح بالعربية: مزاد الطيف الترددي هو عملية تنافسية تُجريها هيئات تنظيم الاتصالات لتخصيص نطاقات ترددية لمشغلي الشبكات مقابل رسوم ترخيص، مما يضمن التوزيع الكفء للطيف الشحيح.

English explanation: A spectrum auction is a competitive process conducted by telecom regulators to allocate specific frequency bands to network operators in exchange for licence fees. Operators bid for the right to use designated spectrum for a defined period. This mechanism ensures efficient allocation of scarce radio spectrum and generates government revenue.","Task: Translate 'Spectrum Auction' into Arabic with a bilingual explanation. Core facts: Spectrum auctions are used by regulators to allocate frequency bands. Required reasoning: Explain the competitive process and its purpose. Expected knowledge: Frequency allocation, licence fees, competitive bidding. Risk: Translating 'auction' without explaining the regulatory context. Distinct from IF-TRAIN-009: Telecom terminology, not Islamic finance.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0039,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,ar,government_regulation,regulatory_explanation,intermediate,PUBLIC_RULE_SUMMARY,GR-TRAIN-001,ما الإطار التنظيمي الذي يحكم إجراءات المشتريات الحكومية في الكويت؟,تخضع المشتريات الحكومية في الكويت لأحكام قانون المناقصات العامة وتعديلاته، الذي تُشرف على تطبيقه الجهاز المركزي للمناقصات العامة. يُلزم القانون الجهات الحكومية بطرح المناقصات العامة للعقود التي تتجاوز حدوداً مالية محددة، مع منح أولوية للمنتجات والشركات الكويتية في بعض الحالات وفق نظام التفضيل المحلي. يُنصح بمراجعة النص الرسمي للقانون والتعاميم الصادرة عن الجهاز للاطلاع على الإجراءات المحدّثة.,"Task: Explain Kuwait's government procurement regulatory framework. Core facts: Kuwait's Public Tenders Law governs government procurement. Required reasoning: Identify the three key requirements: public tender, financial threshold, Kuwaitisation. Expected knowledge: CTC role, tender thresholds, local preference rules. Risk: Omitting the local preference requirement. Distinct from others: Kuwait-specific procurement regulation.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0040,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,en,government_regulation,document_summarization,intermediate,PUBLIC_RULE_SUMMARY,GR-TRAIN-002,Summarise the key principles common to GCC data protection frameworks.,"GCC data protection frameworks share several common principles derived from international best practices: (1) Lawful basis: Personal data must be processed on a recognised lawful basis such as consent, contract, or legitimate interest. (2) Purpose limitation: Data collected for a specific purpose must not be used for incompatible purposes without additional consent. (3) Data minimisation: Only data necessary for the stated purpose should be collected. (4) Data subject rights: Individuals have rights to access, correct, and in some jurisdictions delete their personal data. (5) Cross-border transfer restrictions: Transfers to countries without adequate protection require specific safeguards. Saudi Arabia's PDPL, the UAE's Federal DPL, and Kuwait's draft data protection law each have jurisdiction-specific provisions. Legal counsel should be consulted for compliance in each country.","Task: Summarize key principles of GCC data protection frameworks. Core facts: Saudi PDPL, UAE Federal DPL, and Kuwait draft law. Required reasoning: Identify five common principles across GCC jurisdictions. Expected knowledge: Lawful basis, purpose limitation, data minimisation, subject rights, transfer restrictions. Risk: Treating all GCC data protection laws as identical. Distinct from GR-TRAIN-001: Data protection, not procurement.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0067,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,ar-en,arabic_english_correspondence,arabic_english_translation,advanced,TRANSLATION_OR_CORRESPONDENCE,AC-TRAIN-008,"Translate this formal Arabic business phrase into English, preserving the formal register:
«نتشرف بتقديم عروضنا لخدماتكم الكريمة، ونأمل أن تجدوا فيها ما يلبّي تطلعاتكم.»","Translation: 'We are honoured to present our services for your esteemed consideration, and we hope you will find in them what meets your aspirations.'

Note on register: The Arabic phrase uses highly formal honorific language common in GCC business correspondence, including the honorific 'الكريمة' (esteemed) and the deferential 'نتشرف' (we are honoured). The English translation preserves the formal tone while adapting to standard English business letter conventions, which are somewhat less elaborate.","Task: Translate a formal Arabic business phrase into English preserving the formal register. Core facts: The Arabic phrase uses highly formal honorific language. Required reasoning: Preserve the formal register while adapting to English conventions. Expected knowledge: Difference between Arabic and English formal register conventions. Risk: Translating too literally, producing unnatural English. Distinct from AC-TRAIN-003: Translating from Arabic to English, not English to Arabic.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0062,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,ar-en,arabic_english_correspondence,arabic_english_translation,intermediate,TRANSLATION_OR_CORRESPONDENCE,AC-TRAIN-003,Translate the business phrase 'We look forward to a mutually beneficial partnership' into formal Arabic suitable for GCC business correspondence.,"الترجمة الرسمية: «نتطلع إلى شراكة مثمرة تعود بالنفع على الطرفين.»

في السياقات الرسمية الخليجية، يمكن استخدام صيغة أكثر رسمية وتوقيراً: «نأمل أن تكون هذه الشراكة نموذجاً للتعاون المثمر الذي يُحقق المصالح المشتركة لكلا الطرفين.»

Note: The formal Arabic register uses honorific language that is standard in GCC business correspondence and conveys respect for the relationship.","Task: Translate 'We look forward to a mutually beneficial partnership' into formal Arabic. Core facts: Standard business closing phrase requiring formal Arabic register. Required reasoning: Provide the standard translation and a more formal GCC variant. Expected knowledge: GCC formal Arabic register; honorific language conventions. Risk: Using informal Arabic that sounds unprofessional in GCC business context. Distinct from IF-TRAIN-009: Business correspondence phrase, not Islamic finance term.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0061,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,en,arabic_english_correspondence,formal_correspondence,basic,TRANSLATION_OR_CORRESPONDENCE,AC-TRAIN-002,Write a formal English email politely declining a business proposal.,"Subject: RE: Business Proposal

Dear [Name],

Thank you for presenting your proposal and for the time you invested in preparing it. After careful consideration, we have decided not to proceed with this opportunity at this time. This decision reflects our current strategic priorities rather than any deficiency in your proposal.

We appreciate your interest in working with us and hope there may be opportunities to collaborate in the future.

Kind regards,
[Name] — [Title]","Task: Write a formal English email declining a business proposal politely. Core facts: Standard business proposal rejection. Required reasoning: Decline without burning the relationship; keep the door open. Expected knowledge: Professional English email structure; diplomatic language. Risk: Being too blunt or too vague about the reason for declining. Distinct from AC-TRAIN-001: English declination, not Arabic confirmation.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
